2016-03-04 09:04:17,031 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: industriousgnomes:vendingmachinebrains:0.0.1-SNAPSHOT @ /Users/jrtitko1/workspaces/VendingMachineKata/pojo/pom.xml.
2016-03-04 09:04:17,245 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /pojo/src/main/java
2016-03-04 09:04:17,245 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /pojo/src/main/resources
2016-03-04 09:04:17,246 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /pojo/src/test/java
2016-03-04 09:04:17,246 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /pojo/src/test/resources
2016-03-04 09:04:17,324 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
2016-03-04 09:04:18,021 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: industriousgnomes:vendingmachinebrains:0.0.1-SNAPSHOT @ /Users/jrtitko1/workspaces/VendingMachineKata/pojo/pom.xml.
2016-03-04 09:04:18,393 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: industriousgnomes:vendingmachinebrains:0.0.1-SNAPSHOT @ /Users/jrtitko1/workspaces/VendingMachineKata/pojo/pom.xml.
2016-03-04 09:04:18,449 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:04:18,454 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-04 09:04:18,456 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:04:18,456 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-04 09:04:19,605 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: industriousgnomes:vendingmachinebrains:0.0.1-SNAPSHOT @ /Users/jrtitko1/workspaces/VendingMachineKata/pojo/pom.xml.
2016-03-04 09:04:20,630 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:04:20,631 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-04 09:04:20,632 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:04:20,633 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-04 09:07:59,952 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: industriousgnomes:vendingmachine-pojo:0.0.1-SNAPSHOT @ /Users/jrtitko1/workspaces/VendingMachineKata/pojo/pom.xml.
2016-03-04 09:07:59,985 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:07:59,986 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-04 09:07:59,986 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:07:59,987 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-04 09:08:22,751 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: industriousgnomes:vendingmachine-pojo:0.0.1-SNAPSHOT @ /Users/jrtitko1/workspaces/VendingMachineKata/pojo/pom.xml.
2016-03-04 09:08:22,770 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:08:22,770 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-04 09:08:22,771 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-04 09:08:22,771 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
